Année,Production viande de bovins (T),Production viande d'ovins (T),Production viande de caprins (T),Production viande de porcins (T),Production viande de volailles traditionnelles (T),Production viande de volailles modernes (T),Production viande de lapins (T),Production viande d'aulacodes et de cobayes (T),Total Production de viande (T)
2010,34085,2586,5136,4416,10335,975,1875,624,60032
2011,34986,2640,5248,4596,10670,1007,1875,624,61646
2012,35887,2694,5370,4776,11012,1040,1875,624,63278
2013,36822,2752,5491,4968,11364,1073,1875,624,64969
2014,37774,2810,5616,5172,11727,1107,1875,624,66705
2015,38760,2867,5744,5376,12102,1143,1875,624,68491
2016,39763,2928,5875,5592,12490,1181,1875,624,70328
2017,40800,2989,6010,5820,12890,1220,1875,624,72228
2018,41854,3053,6147,6048,13302,1259,1875,624,74162
2019,30144,7346,7558,8183,8168,604,4512,121,66636
2020,32939,7558,9219,9010,8575,1218,7448,121,76088
2021,34872,11592,13844,9112,8016,1344,12294,121,91195
2022,38106,11928,14332,10033,8100,1575,13093,121,97288
